Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,AUT,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,3.036730406,9.797867034,9.370005271,1.093584769,-12.26320882,12.40340734,10.61338311,-9.831966236,16.34019983,-1.151508327,-6.031444836,-6.950718209,-3.143688936,5.211645245,6.419538137,0.14535206,3.345482442,10.36165952,6.847928514,5.632026318,4.800128758,-0.818728127,-2.788221438,5.978138352,6.424695273,0.763599232,1.76607537,2.839248122,3.418190873,2.505189703,-0.852776571,-3.82945508,4.648188246,1.664441204,1.564549258,2.225561818,7.459436277,-0.540403155,-10.35672131,-0.178184584,8.805649935,-0.702341518,-0.734698462,0.7034231,3.241584004,4.466445651,4.476895444,6.086809729,-0.174975915,-4.646382838
Azerbaijan,AZE,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.60003117,55.10001391,111.3999854,39.0000018,22.99998626,24.68597028,-11.73965799,12.9053731,87.65745602,72.52733081,25.05120343,-1.301942599,2.690534877,-9.306621633,1.599554787,-8.960968711,4.314513712,11.26977275,2.199999358,19.44731819,1.478734607,,,,,,
Burundi,BDI,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78411508,-12.35743907,114.3374647,1.66520136,2.353256323,2.469509961,19.3184291,1.535305862,8.309790858,-7.059208459,-8.870177992,13.7673939,16.95060579,-1.227484732,2.59263345,-0.132406357,-9.59519904,-4.992204163,-27.32056335,-2.613129171,25.45710264,15.10026888,-3.659236817
Belgium,BEL,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,-2.046885917,-0.080393296,11.83557882,10.28879585,-13.34446297,8.288174694,0.755372632,2.285937038,0.321334313,15.18253524,-18.3056895,-7.527349577,-11.10869147,12.68473986,-3.155682825,5.566776713,9.238784709,18.86780188,10.86214945,7.670908076,-3.626219886,1.829137475,-2.956525218,3.764435394,4.113740593,0.415438625,7.67936209,1.535928255,3.811360631,7.189729001,-2.703878446,-4.714023168,0.303003838,10.61884607,8.16133495,3.692648499,8.726584543,2.035890933,-8.733766791,2.220629699,7.748286982,-1.85436044,-3.78596619,5.411279127,5.505221254,5.152552357,1.422664301,4.669536399,2.113510307,-7.339474882
Benin,BEN,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,-0.876746557,-1.769540171,9.008583499,-9.917286202,-5.495506402,3.884136178,35.51324694,8.966097574,5.06319599,-6.627164039,-3.014147184,44.85300874,1.288666782,46.49163555,0.078972534,1.893394871,-7.974292167,-5.580451465,43.15414441,36.68025388,13.79804126,43.09503037,-41.43606063,-26.18134309,-27.33564037,48.09523867,-7.234723046,5.199305704,-23.30066061,46.21352657,9.364272412,-2.427701393,5.800031644,0.732017948,38.13271095,-18.27798466,16.711984,-6.146444738,17.55382498,-5.827670294,22.51967669,-12.12143915,6.423481976,6.688436088,-22.65141036,10.45263918,30.9474306,-8.792979233,11.80073569,8.670832422,5.113479514,4.984521513,40.66840995,9.232290939,13.94551239,1.568735054,24.74144372,15.91703714,10.02043843,1.860966958
Burkina Faso,BFA,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,0.003843223,-6.331105201,5.404418515,20.51444727,4.254518276,40.95995646,27.53561308,17.04674459,10.67786735,-0.876767438,0.884522645,-8.770941908,3.364731489,-16.81214163,2.045746215,-0.20215624,30.76116876,-7.759673184,1.63217061,76.87248906,-11.90190559,-4.934566069,7.347444075,5.259722866,1.11298182,14.18091046,-10.28515046,0.933234723,24.9711231,-7.862441306,13.04477035,17.40840567,-3.457203364,-14.08783851,-11.59119105,6.628528622,1.664335307,19.58273017,5.029319542,25.89315664,-3.400443813,12.16106079,20.72911325,4.720402954,21.35742998,10.87925579,21.28504262,-2.048558295,-10.89306688,13.74057209,15.21981733,12.83152023,11.22455042,19.90132941,
Bangladesh,BGD,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,18.76493998,61.88863623,-23.49337904,25.29793303,11.85287022,4.241953086,12.88469457,34.92362843,-7.883476543,-7.077978781,-24.08474399,-55.64297144,96.48084936,147.331646,-22.08892877,18.25109018,26.22433567,25.81065379,11.37851899,17.44723633,22.85633606,8.590092769,4.512158549,9.95603573,5.923776598,5.613789972,10.29012003,1.531963669,4.925615053,5.515409575,2.459202595,4.007492557,11.1640026,9.237543486,9.608162655,11.95167581,6.459445401,9.113163586,8.58660159,7.117690366,7.934721804,7.420112776,7.657353995,8.208579839,9.763639894,9.887953376,7.146867476,9.815105924,7.388144651,8.564621888,9.560947129,10.56772955,5.364641791,9.855051328,7.118800733,8.909372151,10.14876468,10.50173827,8.441672128,1.936727569
Bulgaria,BGR,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,11.40128834,-2.422715863,-0.587688351,5.818637715,-2.022479869,18.73623019,-4.75624037,20.35987449,-1.843670388,-36.11253189,-16.89583234,-11.88295641,-20.53449848,-11.72213587,3.167710238,-17.79123583,887.5752033,82.64605263,10.70971219,5.331779231,17.3360742,7.308757929,16.50809811,10.7717969,24.18101087,20.74842382,13.80078042,16.62124732,-24.17099534,-17.88335573,-3.273788152,3.085385659,-5.32370724,6.87086691,1.273733396,-4.51834797,6.470618368,10.43334289,3.921090995,-5.279527092
Bahrain,BHR,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.252897347,-0.607654349,19.01991167,13.74243887,28.0962392,23.96331011,29.45419419,18.20836727,-28.81573719,18.75407947,-11.52112687,8.646328245,15.99809148,4.86623381,-8.610467284,16.56374258,14.40417503,6.846298094,-4.429491105,
"Bahamas, The",BHS,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.093792756,-4.05084519,-7.668556036,-18.59006553,16.49163013,12.30634376,15.11185065,78.16188318,-19.57655646,18.78813937,11.45692967,-9.948627256,4.062461982,4.822426161,-8.223264929,22.01630999,19.39467665,-3.267245617,-7.474329993,-13.17183095,-7.331603139,14.83461023,21.04239315,-10.66713492,13.07727161,-17.84982985,5.182010544,9.362075021,-2.623964881,1.831454918,-36.10677902
Bosnia and Herzegovina,BIH,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25842808,8.759974746,2.720268674,8.755651278,6.543374572,-0.456760043,32.04353333,15.67886314,-24.91069412,-15.44981605,12.22054089,2.453811069,-2.822172427,9.089737185,2.972314097,12.42267743,11.38299403,4.417114397,6.351569646,-10.40462799
