Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,2.125792246,20.01219637,19.45465632,12.97532357,-20.59239683,-0.550613047,9.658519267,18.46649471,22.99019188,22.98688104,9.762952247,11.64709059,-5.051935087,4.419171405,-2.201649292,-6.109299181,4.494620012,2.16483561,11.07892544,7.251812953,7.614162475,7.945154601,6.520243147,-18.26379542,6.023382183,8.647574082,1.82114472,19.55917451,35.45008337,8.098689229,0.351259884,-6.819998082,-25.29031373,-13.23384227,2.950437935,5.176579448,4.2228739,2.787938473,12.45979424,12.65137224,20.02664938,4.886135198,-21.27726525
Australia,AUS,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,5.781047076,-0.941023145,3.474089901,2.119393401,-1.94613116,-1.950721113,2.530706938,-2.185124811,5.218952933,1.975214681,0.326912148,3.4642537,2.815139452,6.240011346,4.121730903,0.953844446,-0.172002156,4.560872504,3.370545975,1.700152802,1.638914074,2.850079699,3.017893789,4.1273412,1.763817997,-0.717005479,2.443982606,3.16172321,2.033323164,3.652986092,5.137941595,-0.278931922,-11.30414558,3.379757716,3.983495622,1.470781713,0.590506167,0.021936672,-0.009310369,3.035128398,3.382552813,3.280263577,0.080693041,-5.659447071
Azerbaijan,AZE,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.1340914,-27.25610403,-13.39563676,7.296947698,17.72873742,17.9068411,2.636108093,-13.23745733,8.283654102,11.28346734,11.55520958,9.893800292,46.08286701,50.18102528,33.32180714,9.617665826,10.40569239,3.817428453,-5.5747546,-0.938011682,4.517712748,0.150863862,-1.928243729,-4.142439899,-3.546482674,-0.663005574,0.877181079,-5.981726821
Burundi,BDI,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,5.627206717,-2.325814848,1.862587028,3.664027537,0.626830012,10.34428804,24.43582962,11.41616185,0.811383293,10.13145548,9.575073765,9.246610914,3.24706208,1.541064342,9.308137707,1.323543823,7.41080008,0.555370667,0.719166508,7.488088068,9.27966372,8.569997557,-14.02000001,-18.47,-16.59000001,3.880000023,-1.050851708,-1.589999972,4.58999996,-6.230151807,-6.230151808,-6.230151778,-6.230151802,-6.230151832,1.550918928,5.368245093,8.336773745,4.844849217,9.040602462,1.364424586,1.855587825,5.273086076,2.435906272,6.200108319,-16.1,-1.3,0.699999992,2.400030006,2.100016324,1.760060002
Belgium,BEL,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.399668941,5.924526482,1.579316744,1.665584717,6.077177555,0.42709992,0.033252035,0.329556511,4.855869589,2.378488773,0.704294381,4.838495404,-2.018086876,-4.983757108,4.788446922,1.327086506,-1.839984668,-0.158781469,3.180161676,2.877931715,-0.85256214,1.10083073,0.24719908,3.316756431,-3.090296303
Benin,BEN,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,-7.246927691,14.05375598,-2.839775748,28.26079717,-13.56662801,-12.37372098,14.25993682,-6.270615436,7.829513689,-1.277845055,19.09907171,34.38589636,-3.907365865,8.433770103,9.166653027,-21.37404749,-0.161811814,5.996756205,7.804276567,8.199613789,4.536951694,9.052401456,-1.793645191,4.833912976,3.921187517,7.696279374,3.508440566,-0.187647251,1.749735869,9.208547035,13.35750338,1.858784307,1.177036833,1.075484477,6.595173593,3.048635753,-1.770191052,-8.902815787,1.531987043,3.367779983,0.175324284,3.664171877,6.199581911,3.891504544,13.78687545,0.891605888,0.469051557,4.84097645,13.55839444,5.17512692
Burkina Faso,BFA,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,3.996846937,2.018167545,13.07972553,-11.68376935,20.98329386,10.77334645,-16.91617943,7.659246528,-2.920367027,4.148972819,-1.333099166,7.896378194,0.783076336,1.748231836,5.538926698,10.10692636,8.370007551,-0.950753377,-0.542984549,7.629099288,0.125977892,4.162907087,5.274129284,-4.562996885,0.198362208,-0.870013453,20.39839101,4.344255316,34.6975079,-3.091173227,5.058291512,6.045936023,13.8733313,5.569582391,5.042291904,5.260776488,13.79095062,-2.147389857,11.40718689,12.01703323,12.51931791,-1.726322636,4.649743256,10.39052044,6.465250956,5.044572227,5.897942683,9.523957516,2.378421606,12.20951656
Bangladesh,BGD,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,2.033753924,26.64647817,3.919266143,36.05367954,7.88599114,-4.007914719,-13.32195305,18.40282923,6.022495614,0.737672313,-19.63835617,-46.68484858,69.68998827,20.60461415,-12.59212084,-1.545747865,17.14595329,4.586990389,21.1330198,-3.820950916,5.009257623,3.377545205,3.899067445,9.62858042,6.18843548,6.908457936,8.626892432,3.123026858,3.77914617,7.297530482,4.7108984,6.989203263,8.094186604,8.129669182,10.13436684,6.736726694,5.225481967,8.726901365,5.241305046,6.255771363,7.461679691,5.803009825,6.581699727,7.049271768,7.932370962,9.797899954,9.027828231,7.033534043,6.913173254,7.032201959,9.019130178,9.435598764,9.639358906,8.160014237,9.666904855,11.09373384,10.22460167,12.06057128,12.66964724,3.249730588
Bulgaria,BGR,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.467692845,9.346557287,7.639156861,6.13131833,5.094077754,5.192918336,5.373800452,9.914262089,0.965210422,-12.50000002,-18.6,-6.400000086,-6.199999706,5.999999528,-5.470486252,-0.077742768,8.835311089,1.242938082,-1.58680978,11.21817002,6.255311046,4.610853707,7.732042618,3.959666499,4.346337798,8.983882961,11.77194403,4.650519494,-4.119682946,-5.745197785,2.701893224,4.346852351,-2.703702992,0.593041938,4.403888124,3.925891728,0.982102891,-0.004723573,-0.075173443,-8.218677738
